locus	length bp	direction	start	stop	NCBI Name	NCBI Locus	NCBI Annotation
CLJU_c01720	579	=>	168917	169495	-	CLJU_RS00835	MULTISPECIES: uracil-DNA glycosylase
metS	1935	=>	169845	171779	metG	CLJU_RS00840	MULTISPECIES: methionine--tRNA ligase
CLJU_c01740	777	=>	172062	172838	-	CLJU_RS00845	MULTISPECIES: TatD family deoxyribonuclease
CLJU_c01750	1041	=>	173164	174204	-	CLJU_RS00850	MULTISPECIES: DUF348 domain-containing protein
CLJU_c01760	564	=>	174313	174876	rnmV	CLJU_RS00855	MULTISPECIES: ribonuclease M5
ksgA	843	=>	174869	175711	rsmA	CLJU_RS00860	MULTISPECIES: 16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA
CLJU_c01780	1305	=>	175810	177114	-	CLJU_RS00865	MULTISPECIES: hypothetical protein
CLJU_c01790	585	=>	177130	177714	-	CLJU_RS00870	MULTISPECIES: hypothetical protein
CLJU_c01800	849	=>	177904	178752	-	CLJU_RS00875	MULTISPECIES: hypothetical protein
CLJU_c01810	849	=>	178816	179664	-	CLJU_RS00880	MULTISPECIES: Mrp/NBP35 family ATP-binding protein
CLJU_c01820	189	=>	179771	179959	-	CLJU_RS00885	MULTISPECIES: ferredoxin
CLJU_c01830	186	<=	180061	180246	-	CLJU_RS00890	MULTISPECIES: hypothetical protein
nrdD	2106	=>	180482	182587	-	CLJU_RS00895	anaerobic ribonucleoside triphosphate reductase
nrdG	510	=>	182633	183142	nrdG	CLJU_RS00900	MULTISPECIES: anaerobic ribonucleoside-triphosphate reductase activating protein
CLJU_c01860	366	=>	183193	183558	-	CLJU_RS00905	MULTISPECIES: winged helix-turn-helix transcriptional regulator
CLJU_c01870	633	<=	184034	184666	-	CLJU_RS00910	MULTISPECIES: MBL fold metallo-hydrolase
CLJU_c01880	1812	=>	184820	186631	-	CLJU_RS00915	N-acetylmuramoyl-L-alanine amidase
ileS	3108	=>	187050	190157	-	CLJU_RS00920	isoleucine--tRNA ligase
CLJU_c01900	999	=>	190314	191312	-	CLJU_RS00925	MULTISPECIES: LacI family transcriptional regulator
CLJU_c01910	609	=>	191420	192028	-	CLJU_RS00930	MULTISPECIES: DedA family protein
CLJU_c01920	4086	=>	192249	196334	-	CLJU_RS00935	MULTISPECIES: AAA family ATPase
manC	1068	=>	196472	197539	-	CLJU_RS00940	MULTISPECIES: NTP transferase domain-containing protein
CLJU_c01940	252	<=	197612	197863	-	CLJU_RS00945	MULTISPECIES: GIY-YIG nuclease family protein
CLJU_c01950	615	<=	197885	198499	-	CLJU_RS00950	DNA-3-methyladenine glycosylase
CLJU_c01960	1278	=>	198613	199890	larC	CLJU_RS00955	MULTISPECIES: nickel pincer cofactor biosynthesis protein LarC
CLJU_c01970	1383	=>	200222	201604	-	CLJU_RS00960	radical SAM protein
CLJU_c01980	1266	=>	201744	203009	-	CLJU_RS00965	MULTISPECIES: carbohydrate ABC transporter substrate-binding protein
CLJU_c01990	1119	<=	203158	204276	-	CLJU_RS00970	glycosyltransferase family 4 protein
CLJU_c02000	1008	=>	204464	205471	-	CLJU_RS00975	MULTISPECIES: CotS family spore coat protein
CLJU_c02010	210	=>	205495	205704	-	CLJU_RS00980	MULTISPECIES: hypothetical protein
CLJU_c02020	768	=>	205742	206509	-	CLJU_RS00985	MULTISPECIES: spore coat protein
CLJU_c02030	1023	=>	206530	207552	-	CLJU_RS00990	MULTISPECIES: CotS family spore coat protein
CLJU_c02040	1125	<=	207659	208783	-	CLJU_RS00995	MULTISPECIES: glycosyltransferase family 4 protein
cotS1	1002	=>	208897	209898	-	CLJU_RS01000	MULTISPECIES: CotS family spore coat protein
CLJU_c02060	870	=>	210031	210900	yabG	CLJU_RS01005	MULTISPECIES: sporulation peptidase YabG
CLJU_c02070	240	=>	211106	211345	-	CLJU_RS01010	MULTISPECIES: hypothetical protein
CLJU_c02080	1554	=>	211740	213293	-	CLJU_RS01015	MULTISPECIES: DUF3794 domain-containing protein
cphB	807	=>	213692	214498	-	CLJU_RS01020	MULTISPECIES: cyanophycinase
cphA	2625	=>	214808	217432	cphA	CLJU_RS01025	MULTISPECIES: cyanophycin synthetase
ispE	843	=>	217537	218379	-	CLJU_RS01030	MULTISPECIES: 4-(cytidine 5\'-diphospho)-2-C-methyl-D-erythritol kinase
CLJU_c02120	195	=>	218771	218965	-	CLJU_RS01035	MULTISPECIES: hypothetical protein
gerA1	1458	=>	218979	220436	-	CLJU_RS01040	MULTISPECIES: spore germination protein
gerAB/AC	2259	=>	220511	222769	-	CLJU_RS01045	MULTISPECIES: Ger(x)C family spore germination protein
spoIIR	645	=>	222854	223498	spoIIR	CLJU_RS01050	MULTISPECIES: stage II sporulation protein R
murG1	1239	<=	223615	224853	-	CLJU_RS01055	MULTISPECIES: UDP-glucuronosyltransferase
ypeB	1371	=>	225350	226720	ypeB	CLJU_RS01060	MULTISPECIES: germination protein YpeB
CLJU_c02180	417	=>	226947	227363	-	CLJU_RS01065	MULTISPECIES: DUF1934 domain-containing protein
CLJU_c02190	306	=>	227450	227755	-	CLJU_RS01070	MULTISPECIES: hypothetical protein
pyrG	1605	=>	228016	229620	-	CLJU_RS01075	MULTISPECIES: CTP synthase
CLJU_c02210	345	=>	229831	230175	-	CLJU_RS01080	MULTISPECIES: hypothetical protein
CLJU_c02220	1455	=>	230357	231811	-	CLJU_RS01085	MULTISPECIES: transcription termination factor Rho
rpmE	213	<=	231876	232088	rpmE	CLJU_RS01090	MULTISPECIES: 50S ribosomal protein L31
CLJU_c02240	1053	=>	232261	233313	-	CLJU_RS01095	MULTISPECIES: DUF1385 domain-containing protein
hemK	864	=>	233303	234166	prmC	CLJU_RS01100	MULTISPECIES: peptide chain release factor N(5)-glutamine methyltransferase
prfA	1074	=>	234227	235300	prfA	CLJU_RS01105	MULTISPECIES: peptide chain release factor 1
CLJU_c02270	627	=>	235365	235991	-	CLJU_RS01110	MULTISPECIES: hypothetical protein
CLJU_c02280	723	=>	236060	236782	-	CLJU_RS01115	MULTISPECIES: zinc transporter
CLJU_c02290	1053	=>	236895	237947	-	CLJU_RS01120	MULTISPECIES: threonylcarbamoyl-AMP synthase
CLJU_c02300	459	=>	238000	238458	-	CLJU_RS01125	MULTISPECIES: low molecular weight protein arginine phosphatase
CLJU_c02310	450	=>	238560	239009	rpiB	CLJU_RS01130	MULTISPECIES: ribose 5-phosphate isomerase B
upp	630	=>	239136	239765	-	CLJU_RS01135	MULTISPECIES: uracil phosphoribosyltransferase
CLJU_c02330	411	=>	239910	240320	-	CLJU_RS01140	MULTISPECIES: dCMP deaminase family protein
CLJU_c02340	1029	=>	240370	241398	-	CLJU_RS01145	MULTISPECIES: undecaprenyl/decaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
epsC	1155	=>	241416	242570	-	CLJU_RS01150	MULTISPECIES: UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)
atpI	366	=>	242961	243326	-	CLJU_RS01155	MULTISPECIES: hypothetical protein
atpB	666	=>	243373	244038	-	CLJU_RS01160	MULTISPECIES: F0F1 ATP synthase subunit A
atpE	246	=>	244081	244326	atpE	CLJU_RS01165	MULTISPECIES: ATP synthase F0 subunit C
atpF	480	=>	244385	244864	-	CLJU_RS01170	MULTISPECIES: F0F1 ATP synthase subunit B
atpH	546	=>	244867	245412	-	CLJU_RS01175	MULTISPECIES: F0F1 ATP synthase subunit delta
atpA	1515	=>	245417	246931	-	CLJU_RS01180	MULTISPECIES: F0F1 ATP synthase subunit alpha
atpG	852	=>	246954	247805	-	CLJU_RS01185	MULTISPECIES: F0F1 ATP synthase subunit gamma
atpD	1395	=>	247818	249212	atpD	CLJU_RS01190	MULTISPECIES: F0F1 ATP synthase subunit beta
atpC	399	=>	249279	249677	-	CLJU_RS01195	MULTISPECIES: F0F1 ATP synthase subunit epsilon
CLJU_c02450	738	=>	250017	250754	-	CLJU_RS01200	MULTISPECIES: hypothetical protein
murA1	1260	=>	250849	252108	murA	CLJU_RS01205	MULTISPECIES: UDP-N-acetylglucosamine 1-carboxyvinyltransferase
CLJU_c02470	1047	=>	252293	253339	spoIID	CLJU_RS01210	MULTISPECIES: stage II sporulation protein D
CLJU_c02480	717	=>	253491	254207	-	CLJU_RS01215	MULTISPECIES: M23 family metallopeptidase
CLJU_c02490	255	=>	254430	254684	spoIIID	CLJU_RS01220	MULTISPECIES: sporulation transcriptional regulator SpoIIID
CLJU_c02500	1032	=>	254782	255813	-	CLJU_RS01225	MULTISPECIES: rod shape-determining protein
CLJU_c02520	549	<=	255905	256453	yyaC	CLJU_RS01230	MULTISPECIES: spore protease YyaC
CLJU_c02510	156	=>	256441	256596			
metK1	1176	=>	257490	258665	-	CLJU_RS01260	MULTISPECIES: methionine adenosyltransferase
recD	2238	=>	258796	261033	-	CLJU_RS01265	MULTISPECIES: ATP-dependent RecD-like DNA helicase
CLJU_c02600	1023	=>	261017	262039	-	CLJU_RS01270	MULTISPECIES: hypothetical protein
CLJU_c02610	681	=>	262012	262692	-	CLJU_RS01275	MULTISPECIES: ComF family protein
CLJU_c02620	528	=>	263125	263652	raiA	CLJU_RS01280	MULTISPECIES: ribosome-associated translation inhibitor RaiA
secA	2514	=>	263833	266346	secA	CLJU_RS01285	MULTISPECIES: preprotein translocase subunit SecA
prfB	990	=>	266485	267474	prfB	CLJU_RS01290	MULTISPECIES: peptide chain release factor 2
CLJU_c02650	1239	=>	267554	268792	-	CLJU_RS01295	MULTISPECIES: MFS transporter
gdh	1347	=>	268952	270298	-	CLJU_RS01300	MULTISPECIES: NADP-specific glutamate dehydrogenase
CLJU_c02670	1341	<=	270391	271731	-	CLJU_RS01305	Zn-dependent exopeptidase M28
tex	2166	=>	271893	274058	-	CLJU_RS01310	MULTISPECIES: RNA-binding transcriptional accessory protein
CLJU_c02690	627	=>	274606	275232	-	CLJU_RS01315	MULTISPECIES: ECF transporter S component
CLJU_c02700	1839	=>	275347	277185	-	CLJU_RS01320	MULTISPECIES: hypothetical protein
CLJU_c02710	267	=>	277260	277526	-	CLJU_RS01325	MULTISPECIES: hypothetical protein
CLJU_c02720	687	=>	277531	278217	-	CLJU_RS01330	MULTISPECIES: ser/threonine protein phosphatase
CLJU_c02730	804	<=	278261	279064	-	CLJU_RS01335	MULTISPECIES: DUF2225 domain-containing protein
CLJU_c02740	789	=>	279252	280040	-	CLJU_RS01340	MULTISPECIES: GTP pyrophosphokinase family protein
leuS	2433	<=	280119	282551	-	CLJU_RS01345	MULTISPECIES: leucine--tRNA ligase
CLJU_c02770	519	<=	283132	283650	-	CLJU_RS01355	MULTISPECIES: hypothetical protein
CLJU_c02780	582	<=	283682	284263	-	CLJU_RS01360	MULTISPECIES: DnaJ domain-containing protein
CLJU_c02790	879	<=	284247	285125	-	CLJU_RS01365	MULTISPECIES: hypothetical protein
CLJU_c02800	531	<=	285134	285664	-	CLJU_RS01370	MULTISPECIES: CYTH domain-containing protein
fba	933	<=	285792	286724	fba	CLJU_RS01375	"MULTISPECIES: class II fructose-1,6-bisphosphate aldolase"
CLJU_c02820	381	<=	287064	287444	-	CLJU_RS01380	MULTISPECIES: DUF4363 family protein
CLJU_c02830	696	<=	287441	288136	-	CLJU_RS01385	MULTISPECIES: DUF421 domain-containing protein
CLJU_c02840	1695	=>	288331	290025	-	CLJU_RS01390	MULTISPECIES: nucleoside kinase
CLJU_c02850	747	=>	290201	290947	larB	CLJU_RS01395	MULTISPECIES: nickel pincer cofactor biosynthesis protein LarB
CLJU_c02860	285	<=	291031	291315	-	CLJU_RS01400	MULTISPECIES: STAS domain-containing protein
CLJU_c02870	1989	<=	291327	293315	-	CLJU_RS01405	HAMP domain-containing protein
CLJU_c02880	384	<=	293452	293835	-	CLJU_RS01410	MULTISPECIES: ATP-binding protein
CLJU_c02890	1509	<=	293852	295360	-	CLJU_RS01415	SpoIIE family protein phosphatase
CLJU_c02900	369	=>	295783	296151	-	CLJU_RS01420	MULTISPECIES: hypothetical protein
pssA	522	<=	296205	296726	pssA	CLJU_RS01425	MULTISPECIES: CDP-diacylglycerol--serine O-phosphatidyltransferase
CLJU_c02920	561	=>	297214	297774	-	CLJU_RS01430	TVP38/TMEM64 family protein
CLJU_c02930	429	=>	297898	298326	-	CLJU_RS01435	MULTISPECIES: CBS domain-containing protein
